ID,Name,Cost,Type,Race,Rarity,Attack,Health,Tribe,Keywords,Card Text
"void_void_parasite","Void Parasite",2,"MINION","VOIDBORN","COMMON",1,2,"VOID","DOUBLE_STRIKE, DEPLOY","Deal 1 damage to a random enemy"
"void_whispers_of_null","Whispers of Null",1,"SPELL","VOIDBORN","COMMON",,,"","","Deal 1 damage to a random enemy"
"void_entropy_weaver","Entropy Weaver",4,"MINION","VOIDBORN","RARE",3,5,"","DEPLOY","Whenever a card is ed, draw a card"
"void_void_mirror","Void Mirror",3,"MINION","VOIDBORN","RARE",2,4,"VOID","CLOAK, DEPLOY","Draw a card"
"void_mindbreaker","Mindbreaker",5,"MINION","VOIDBORN","RARE",4,6,"","DRAIN, DEPLOY","Deal 7 damage to a random enemy"
"void_null_anchor","Null Anchor",3,"STRUCTURE","VOIDBORN","RARE",,,"","DEPLOY","Deal 3 damage to a random enemy"
"void_black_hole","Black Hole",6,"SPELL","VOIDBORN","RARE",,,"","DRAIN","an enemy minion. a random card from your opponent's hand"
"void_void_siphon","Void Siphon",4,"SPELL","VOIDBORN","RARE",,,"","","Draw 2 cards"
"void_abyss_walker","Abyss Walker",5,"MINION","VOIDBORN","RARE",4,5,"VOID","CLOAK, DEPLOY","Deal 2 damage to a random enemy"
"void_reality_unraveler","Reality Unraveler",6,"MINION","VOIDBORN","RARE",5,7,"","DEPLOY","Deal 3 damage to a random enemy"
"void_nullheim_gate","Nullheim Gate",5,"STRUCTURE","VOIDBORN","RARE",,,"","DEPLOY","Whenever you a card, deal 2 damage to the enemy Hero"
"void_devour_thoughts","Devour Thoughts",3,"SPELL","VOIDBORN","RARE",,,"","","Your opponent discards 2 random cards. For each spell discarded, draw a card"
"void_dimensional_exile","Dimensional Exile",7,"SPELL","VOIDBORN","RARE",,,"","CLOAK","Deal 4 damage to all enemy minions"
"void_void_echo","Void Echo",4,"MINION","VOIDBORN","RARE",3,4,"VOID","DRAIN, DEPLOY","Draw a card"
"void_existential_crisis","Existential Crisis",5,"SPELL","VOIDBORN","RARE",,,"","","Deal 5 damage to a random enemy"
"void_null_assassin","Null Assassin",3,"MINION","VOIDBORN","RARE",3,3,"VOID","LETHAL, DRAIN, DEPLOY","Draw a card"
"void_entropic_cascade","Entropic Cascade",6,"STRUCTURE","VOIDBORN","RARE",,,"","DEPLOY","Deal 6 damage to a random enemy"
"void_the_void_tyrant","THE VOID TYRANT",5,"MINION","VOIDBORN","EPIC",5,5,"VOID","DEPLOY","Deal 2 damage to a random enemy"
"void_oblivion_sphere","Oblivion Sphere",7,"SPELL","VOIDBORN","EPIC",,,"","DOUBLE_STRIKE","Deal 4 damage to all enemy minions"
"void_mind_devourer","Mind Devourer",6,"MINION","VOIDBORN","EPIC",4,7,"VOID","DEPLOY","Deal 3 damage to a random enemy"
"void_prophet_of_the_endless_void","PROPHET OF THE ENDLESS VOID",9,"MINION","VOIDBORN","LEGENDARY",7,8,"","CLOAK, DOUBLE_STRIKE, DEPLOY","Deal 9 damage to a random enemy"
"void_nullheims_last_word","NULLHEIM'S LAST WORD",8,"MINION","VOIDBORN","LEGENDARY",5,6,"VOID","DOUBLE_STRIKE, DEPLOY","For the rest of the game, whenever your opponent draws a card, a random card from their deck. Your effects also deal 2 damage to the enemy Hero"
"bio_seedling_sprout","Seedling Sprout",1,"MINION","BIOTITANS","COMMON",1,3,"BEAST","SWIFT","DRAIN."
"bio_thornbud","Thornbud",1,"MINION","BIOTITANS","COMMON",2,2,"BEAST","DOUBLE_STRIKE","LETHAL"
"bio_wild_growth","Wild Growth",1,"SPELL","BIOTITANS","COMMON",,,"","","Gain 1 empty Crystal"
"bio_spore_pod","Spore Pod",1,"MINION","BIOTITANS","COMMON",0,4,"BEAST","BARRIER, DEPLOY","Summon two 1/1 Sporlings"
"bio_natures_touch","Nature's Touch",1,"SPELL","BIOTITANS","COMMON",2,2,"","","Give a minion +2/+2"
"bio_primeva_stalker","Primeva Stalker",2,"MINION","BIOTITANS","COMMON",3,3,"BEAST","DEPLOY","Gains +1/+1 at the start of each turn"
"bio_root_snapper","Root Snapper",2,"MINION","BIOTITANS","COMMON",2,4,"BEAST","DRAIN, DEPLOY","Give a friendly minion +1/+1"
"bio_overgrowth","Overgrowth",2,"SPELL","BIOTITANS","COMMON",,,"","","Gain 2 empty Crystals"
"bio_venomfang_hatchling","Venomfang Hatchling",2,"MINION","BIOTITANS","COMMON",2,3,"BEAST","BARRIER, DOUBLE_STRIKE","LETHAL."
"bio_bark_shield","Bark Shield",2,"SPELL","BIOTITANS","COMMON",1,4,"","GUARDIAN","Give a minion +1/+4 and GUARDIAN"
"bio_jungle_prowler","Jungle Prowler",3,"MINION","BIOTITANS","COMMON",3,5,"BEAST","GUARDIAN","Draw a card"
"bio_evolving_slime","Evolving Slime",3,"MINION","BIOTITANS","COMMON",2,3,"BEAST","DRAIN, BLITZ, DEPLOY","Draw a card"
"bio_canopy_guardian","Canopy Guardian",3,"MINION","BIOTITANS","COMMON",2,6,"BEAST","SWIFT","GUARDIAN"
"bio_predators_instinct","Predator's Instinct",3,"SPELL","BIOTITANS","COMMON",3,0,"","SWIFT","Give a minion +3 Attack and SWIFT. Draw a card if it's a Beast"
"bio_fungal_network","Fungal Network",3,"SPELL","BIOTITANS","COMMON",1,1,"","","Give all friendly minions +1/+1. If you control 3+ minions, give +2/+2 instead"
"bio_blooming_crawler","Blooming Crawler",3,"MINION","BIOTITANS","COMMON",3,4,"BEAST","DRAIN, DEPLOY","Draw a card"
"bio_alpha_predator","Alpha Predator",4,"MINION","BIOTITANS","COMMON",4,5,"BEAST","LETHAL","DRAIN."
"bio_living_thicket","Living Thicket",4,"MINION","BIOTITANS","COMMON",3,7,"BEAST","DRAIN, DEPLOY","GUARDIAN. Gains +1/+1 whenever you play a Beast"
"bio_primordial_surge","Primordial Surge",4,"SPELL","BIOTITANS","COMMON",3,3,"","","Give a minion +3/+3 and"
"bio_nest_mother","Nest Mother",4,"MINION","BIOTITANS","COMMON",3,5,"BEAST","DRAIN, DEPLOY","Summon two 2/2 Beast Hatchlings with"
"bio_razorclaw_rex","Razorclaw Rex",5,"MINION","BIOTITANS","COMMON",6,5,"BEAST","SWIFT, DRAIN","SWIFT."
"bio_elder_treant","Elder Treant",5,"MINION","BIOTITANS","COMMON",4,8,"BEAST","DRAIN, DEPLOY","GUARDIAN. Summon a 3/3 Sapling with GUARDIAN"
"bio_law_of_the_jungle","Law of the Jungle",5,"SPELL","BIOTITANS","COMMON",,,"","","Destroy a minion with less Attack than your strongest minion"
"bio_apex_call","Apex Call",5,"SPELL","BIOTITANS","COMMON",2,2,"","","Summon a random Beast from your deck. Give it +2/+2 and"
"bio_titan_wurm","Titan Wurm",6,"MINION","BIOTITANS","COMMON",7,7,"BEAST","LETHAL, DEPLOY","Deal 6 damage to a random enemy"
"bio_primal_roar","Primal Roar",6,"SPELL","BIOTITANS","COMMON",3,3,"","","Give all friendly Beasts +3/+3 and"
"bio_primeva_behemoth","Primeva Behemoth",7,"MINION","BIOTITANS","COMMON",8,8,"BEAST","LETHAL, DRAIN, DEPLOY","Deal 3 damage to a random enemy"
"bio_extinction_event","Extinction Event",7,"SPELL","BIOTITANS","COMMON",,,"","","Destroy all minions with 4 or less Attack. Your Beasts have +4/+4 for the rest of the game"
"bio_egg_clutch","Egg Clutch",2,"MINION","BIOTITANS","COMMON",0,4,"BEAST","DOUBLE_STRIKE, DEPLOY","Deal 2 damage to a random enemy"
"bio_fertile_grounds","Fertile Grounds",3,"STRUCTURE","BIOTITANS","COMMON",1,1,"","DEPLOY","Your Beasts have +1/+1"
"bio_evolutionary_leap","Evolutionary Leap",3,"SPELL","BIOTITANS","RARE",,,"","","Deal 3 damage to a random enemy"
"bio_hive_queen","Hive Queen",5,"MINION","BIOTITANS","RARE",4,6,"BEAST","LETHAL, DEPLOY","Deal 2 damage to a random enemy"
"bio_broodmother_rex","Broodmother Rex",6,"MINION","BIOTITANS","RARE",5,7,"BEAST","DEPLOY","Whenever this minion survives damage, summon a 3/3 Beast with"
"bio_living_ecosystem","Living Ecosystem",4,"STRUCTURE","BIOTITANS","RARE",,,"","DEPLOY","Draw a card"
"bio_mutagenic_spores","Mutagenic Spores",2,"SPELL","BIOTITANS","RARE",,,"","","Give a minion three times. (Choose 3 bonuses.)"
"bio_apex_ambusher","Apex Ambusher",4,"MINION","BIOTITANS","RARE",5,4,"BEAST","DRAIN, SWIFT","Deal 3 damage to a random enemy"
"bio_titan_egg","Titan Egg",3,"MINION","BIOTITANS","RARE",0,6,"BEAST","LETHAL, DEPLOY","Deal 3 damage to a random enemy"
"bio_primevas_blessing","Primeva's Blessing",5,"SPELL","BIOTITANS","RARE",5,5,"","","Give a Beast +5/+5 and . It gains ""Can't be targeted by spells."""
"bio_packmaster","Packmaster",4,"MINION","BIOTITANS","RARE",3,5,"","DEPLOY","Draw a card"
"bio_symbiotic_growth","Symbiotic Growth",3,"SPELL","BIOTITANS","RARE",,,"","","Deal 2 damage"
"bio_ancient_of_evolution","Ancient of Evolution",7,"MINION","BIOTITANS","RARE",6,9,"BEAST","DRAIN, GUARDIAN, BLITZ, DEPLOY",". Give all friendly Beasts +2/+2"
"bio_devour","Devour",4,"SPELL","BIOTITANS","RARE",,,"","","Destroy a minion. Give its Attack and Health to a friendly Beast"
"bio_camouflage_stalker","Camouflage Stalker",5,"MINION","BIOTITANS","RARE",5,5,"BEAST","DRAIN, LETHAL, DEPLOY","Deal 2 damage to a random enemy"
"bio_regeneration_cocoon","Regeneration Cocoon",3,"SPELL","BIOTITANS","RARE",,,"","","Deal 2 damage"
"bio_primordial_pool","Primordial Pool",5,"STRUCTURE","BIOTITANS","RARE",,,"","DEPLOY","Deal 5 damage to a random enemy"
"bio_worldeater_hydra","WORLDEATER HYDRA",8,"MINION","BIOTITANS","EPIC",8,9,"BEAST","GUARDIAN, DRAIN, SWIFT, DEPLOY","Deal 4 damage to a random enemy"
"bio_genesis_wave","Genesis Wave",9,"SPELL","BIOTITANS","EPIC",3,3,"","","Fill your board with random Beasts from your deck. Give them all +3/+3 and"
"bio_metamorph_elder","Metamorph Elder",7,"MINION","BIOTITANS","EPIC",5,8,"BEAST","DEPLOY","Deal 7 damage to a random enemy"
"bio_worldshaper_thorna","WORLDSHAPER THORNA",9,"MINION","BIOTITANS","LEGENDARY",8,9,"","GUARDIAN, DEPLOY","Give a minion +2/+2"
"bio_the_living_planet","THE LIVING PLANET",10,"MINION","BIOTITANS","LEGENDARY",10,11,"BEAST","LETHAL, SWIFT, DRAIN, DEPLOY","Deal 5 damage to a random enemy"
"crys_prism_shard","Prism Shard",1,"MINION","CRYSTALLINE","COMMON",1,3,"ELEMENTAL","GUARDIAN, DEPLOY","Gain +1/+1"
"crys_crystal_spark","Crystal Spark",1,"SPELL","CRYSTALLINE","COMMON",,,"","","Deal 1 damage. Draw a card"
"crys_facet_moth","Facet Moth",1,"MINION","CRYSTALLINE","COMMON",1,2,"ELEMENTAL","GUARDIAN, LAST_WORDS","RESONATE: Summon a 1/1 Crystal Shard. LAST WORDS: Add a random spell to your hand"
"crys_arcane_missile","Arcane Missile",1,"SPELL","CRYSTALLINE","COMMON",,,"","","Deal 3 damage randomly split among all enemies"
"crys_mana_crystal","Mana Crystal",1,"SPELL","CRYSTALLINE","COMMON",,,"","","Gain 1 Crystal this turn only"
"crys_geode_apprentice","Geode Apprentice",2,"MINION","CRYSTALLINE","COMMON",2,4,"","DOUBLE_STRIKE, DEPLOY","Deal 1 damage to a random enemy"
"crys_refraction_bolt","Refraction Bolt",2,"SPELL","CRYSTALLINE","COMMON",,,"","","Deal 2 damage. If you cast another spell this turn, deal 4 instead"
"crys_spell_weaver","Spell Weaver",2,"MINION","CRYSTALLINE","COMMON",1,4,"","DEPLOY","Deal 2 damage to a random enemy"
"crys_prismatic_bolt","Prismatic Bolt",2,"SPELL","CRYSTALLINE","COMMON",,,"","","Deal 3 damage to a minion"
"crys_crystal_golem","Crystal Golem",2,"MINION","CRYSTALLINE","COMMON",2,4,"ELEMENTAL","GUARDIAN, DEPLOY","Gain +0/+2"
"crys_resonance_mage","Resonance Mage",3,"MINION","CRYSTALLINE","COMMON",3,4,"","BARRIER, DEPLOY","Draw a card"
"crys_shatter","Shatter",3,"SPELL","CRYSTALLINE","COMMON",,,"","","Deal 4 damage. If this kills the target, deal 2 damage to adjacent minions"
"crys_quartz_warden","Quartz Warden",3,"MINION","CRYSTALLINE","COMMON",2,6,"ELEMENTAL","GUARDIAN, SWIFT, DEPLOY","Draw a card"
"crys_spell_surge","Spell Surge",3,"SPELL","CRYSTALLINE","COMMON",,,"","","Draw 2 cards. If you've cast 2+ spells this turn, draw 3 instead"
"crys_prism_shield","Prism Shield",3,"SPELL","CRYSTALLINE","COMMON",2,4,"","BARRIER","Give a minion +2/+4 and BARRIER"
"crys_energized_sentry","Energized Sentry",3,"MINION","CRYSTALLINE","COMMON",2,4,"ELEMENTAL","LAST_WORDS","Gains +1 Attack for each spell cast this turn. LAST WORDS: Your next spell costs (2) less"
"crys_prismora_scholar","Prismora Scholar",4,"MINION","CRYSTALLINE","COMMON",3,5,"","GUARDIAN, DEPLOY","Draw a card"
"crys_arcane_explosion","Arcane Explosion",4,"SPELL","CRYSTALLINE","COMMON",,,"","","Deal 2 damage to all enemy minions. Deal 1 extra for each spell you've cast this game. (Max +5.)"
"crys_living_crystal","Living Crystal",4,"MINION","CRYSTALLINE","COMMON",4,5,"ELEMENTAL","BARRIER, DRAIN, DEPLOY","Gain +1/+1 AND deal 1 damage to a random enemy. (Triggers both on each spell.)"
"crys_refract","Refract",4,"SPELL","CRYSTALLINE","COMMON",,,"","","Deal 3 damage"
"crys_crystal_colossus","Crystal Colossus",5,"MINION","CRYSTALLINE","COMMON",5,7,"ELEMENTAL","SWIFT, DEPLOY","Gain +2/+2 and SWIFT"
"crys_arcane_storm","Arcane Storm",5,"SPELL","CRYSTALLINE","COMMON",,,"","","Deal 1 damage to all enemies for each spell you've cast this turn. (Includes this one.)"
"crys_spell_thief","Spell Thief",5,"MINION","CRYSTALLINE","COMMON",4,5,"","DRAIN, DEPLOY","Draw a card"
"crys_overload","Overload",5,"SPELL","CRYSTALLINE","COMMON",,,"","","Your next spell this turn costs (0) and deals double damage"
"crys_prismatic_dragon","Prismatic Dragon",6,"MINION","CRYSTALLINE","COMMON",6,7,"ELEMENTAL","SWIFT, DEPLOY","Deal 3 damage to a random enemy"
"crys_cascade","Cascade",6,"SPELL","CRYSTALLINE","COMMON",,,"","","Deal 6 damage to a minion. If this kills it, cast this again on a random enemy minion"
"crys_crystal_titan","Crystal Titan",7,"MINION","CRYSTALLINE","COMMON",7,9,"ELEMENTAL","DRAIN, BARRIER, DEPLOY","Gain +2/+2 and deal 2 damage to all enemies"
"crys_prismatic_annihilation","Prismatic Annihilation",7,"SPELL","CRYSTALLINE","COMMON",,,"","","Deal 10 damage"
"crys_echo_chamber","Echo Chamber",2,"STRUCTURE","CRYSTALLINE","COMMON",,,"","DEPLOY","Deal 1 damage to a random enemy"
"crys_crystal_battery","Crystal Battery",2,"MINION","CRYSTALLINE","COMMON",0,5,"ELEMENTAL","DOUBLE_STRIKE, DEPLOY","Gain 2 Crystals this turn only"
"crys_spell_amplifier","Spell Amplifier",3,"MINION","CRYSTALLINE","RARE",2,5,"","DEPLOY","Draw a card"
"crys_resonance_cascade","Resonance Cascade",4,"SPELL","CRYSTALLINE","RARE",,,"","","Trigger all friendly effects twice"
"crys_geode_sages_staff","Geode Sage's Staff",3,"SPELL","CRYSTALLINE","RARE",,,"","","Your Hero Power costs (0) this turn. After you use it, draw 2 cards"
"crys_arcane_repository","Arcane Repository",4,"STRUCTURE","CRYSTALLINE","RARE",,,"","DEPLOY","Draw a card"
"crys_prismora_channeler","Prismora Channeler",5,"MINION","CRYSTALLINE","RARE",4,6,"","GUARDIAN, DEPLOY","Deal 5 damage to a random enemy"
"crys_feedback_loop","Feedback Loop",3,"SPELL","CRYSTALLINE","RARE",,,"","","Deal 2 damage to a minion. If you've cast 3+ spells this turn, cast this again. (Repeatable.)"
"crys_crystal_wyrm","Crystal Wyrm",6,"MINION","CRYSTALLINE","RARE",5,8,"ELEMENTAL","DRAIN, DEPLOY","Deal 3 damage to a random enemy"
"crys_mana_flood","Mana Flood",5,"SPELL","CRYSTALLINE","RARE",,,"","","Gain 3 Crystals this turn only. Draw a card for each unspent Crystal"
"crys_prismatic_barrier","Prismatic Barrier",4,"SPELL","CRYSTALLINE","RARE",,,"","BARRIER","Give all friendly minions BARRIER. Draw a card for each BARRIER given"
"crys_runic_golem","Runic Golem",5,"MINION","CRYSTALLINE","RARE",4,7,"ELEMENTAL","DEPLOY","Gains +2/+2 for each spell in your hand"
"crys_arcane_singularity","Arcane Singularity",7,"SPELL","CRYSTALLINE","RARE",,,"","","Deal damage to all enemies equal to the number of spells you've cast this game"
"crys_crystallize","Crystallize",4,"SPELL","CRYSTALLINE","RARE",,,"","","Deal 3 damage"
"crys_mana_vortex","Mana Vortex",5,"MINION","CRYSTALLINE","RARE",3,6,"ELEMENTAL","DEPLOY","Deal 2 damage to a random enemy"
"crys_spellfire_elemental","Spellfire Elemental",6,"MINION","CRYSTALLINE","RARE",5,6,"ELEMENTAL","BARRIER, DEPLOY","Deal 3 damage to a random enemy"
"crys_prismatic_lens","Prismatic Lens",4,"STRUCTURE","CRYSTALLINE","RARE",,,"","DEPLOY","Draw a card"
"crys_arcane_nexus","ARCANE NEXUS",8,"MINION","CRYSTALLINE","EPIC",5,9,"ELEMENTAL","BARRIER, DEPLOY","Draw a card"
"crys_infinity_mirror","Infinity Mirror",7,"SPELL","CRYSTALLINE","EPIC",,,"","","Draw a card"
"crys_living_spellbook","Living Spellbook",6,"MINION","CRYSTALLINE","EPIC",4,7,"","GUARDIAN, DEPLOY","Draw a card"
"crys_geode_sage_lumis","GEODE SAGE LUMIS",9,"MINION","CRYSTALLINE","LEGENDARY",6,9,"","DRAIN, DEPLOY","Deal 9 damage to a random enemy"
"crys_the_infinite_prism","THE INFINITE PRISM",10,"MINION","CRYSTALLINE","LEGENDARY",0,16,"ELEMENTAL","DEPLOY","Draw a card"
"pc_deckhand_specter","Deckhand Specter",1,"MINION","PHANTOM_CORSAIRS","COMMON",2,2,"PIRATE","CLOAK","Deal 1 damage to a random enemy"
"pc_pocket_thief","Pocket Thief",1,"MINION","PHANTOM_CORSAIRS","COMMON",1,3,"PIRATE","BLITZ, DEPLOY","Deal 1 damage to a random enemy"
"pc_ghostly_cutlass","Ghostly Cutlass",1,"SPELL","PHANTOM_CORSAIRS","COMMON",2,0,"","CLOAK","Give a minion +2 Attack. If it has CLOAK, give +3 instead"
"pc_plunder","Plunder",1,"SPELL","PHANTOM_CORSAIRS","COMMON",,,"","","Draw a card"
"pc_phantom_parrot","Phantom Parrot",1,"MINION","PHANTOM_CORSAIRS","COMMON",1,2,"PIRATE","DEPLOY","Draw a card"
"pc_smugglers_shade","Smuggler's Shade",2,"MINION","PHANTOM_CORSAIRS","COMMON",3,3,"PIRATE","LETHAL","Deal 1 damage to a random enemy"
"pc_ghost_gunner","Ghost Gunner",2,"MINION","PHANTOM_CORSAIRS","COMMON",2,3,"PIRATE","BLITZ, DRAIN, DEPLOY","Deal 1 damage to a random enemy"
"pc_pickpocket","Pickpocket",2,"MINION","PHANTOM_CORSAIRS","COMMON",2,3,"PIRATE","LAST_WORDS","Whenever this attacks, add a random card from opponent's class to your hand. LAST WORDS: Add a random card from opponent's class to your hand"
"pc_smoke_bomb","Smoke Bomb",2,"SPELL","PHANTOM_CORSAIRS","COMMON",1,1,"","CLOAK","Give a friendly minion CLOAK and +1/+1"
"pc_cheap_shot","Cheap Shot",2,"SPELL","PHANTOM_CORSAIRS","COMMON",,,"","","Deal 2 damage. If the target has CLOAK or , deal 4 instead"
"pc_phantom_blade","Phantom Blade",3,"MINION","PHANTOM_CORSAIRS","COMMON",4,3,"PIRATE","CLOAK, SWIFT, DEPLOY","Draw a card"
"pc_cargo_raider","Cargo Raider",3,"MINION","PHANTOM_CORSAIRS","COMMON",3,4,"PIRATE","DOUBLE_STRIKE, DEPLOY","Draw a card"
"pc_spectral_rigging","Spectral Rigging",3,"MINION","PHANTOM_CORSAIRS","COMMON",2,4,"PIRATE","DRAIN, LAST_WORDS","Gains +1/+1 whenever you play a stolen card. LAST WORDS: Give a random friendly Pirate PHASE"
"pc_hijack","Hijack",3,"SPELL","PHANTOM_CORSAIRS","COMMON",,,"","","Take control of an enemy minion with 2 or less Attack until end of turn. It gains BLITZ"
"pc_ghostwalk","Ghostwalk",3,"SPELL","PHANTOM_CORSAIRS","COMMON",,,"","","Deal 2 damage"
"pc_swindler","Swindler",3,"MINION","PHANTOM_CORSAIRS","COMMON",3,4,"PIRATE","LETHAL, DEPLOY","Draw a card"
"pc_corsair_quartermaster","Corsair Quartermaster",4,"MINION","PHANTOM_CORSAIRS","COMMON",3,5,"PIRATE","DEPLOY","Deal 4 damage to a random enemy"
"pc_wraithship_gunner","Wraithship Gunner",4,"MINION","PHANTOM_CORSAIRS","COMMON",4,4,"PIRATE","CLOAK, DRAIN, DEPLOY","Deal 2 damage to a minion"
"pc_ransack","Ransack",4,"SPELL","PHANTOM_CORSAIRS","COMMON",,,"","","Steal 2 random cards from your opponent's hand"
"pc_evasive_maneuver","Evasive Maneuver",4,"SPELL","PHANTOM_CORSAIRS","COMMON",,,"","","Return all friendly minions to your hand. They cost (1) less. Draw a card"
"pc_phantom_duelist","Phantom Duelist",5,"MINION","PHANTOM_CORSAIRS","COMMON",5,5,"PIRATE","SWIFT, CLOAK","Deal 5 damage to a random enemy"
"pc_ghost_fleet_raider","Ghost Fleet Raider",5,"MINION","PHANTOM_CORSAIRS","COMMON",4,6,"PIRATE","SWIFT, DEPLOY","Deal 5 damage to a random enemy"
"pc_identity_theft","Identity Theft",5,"SPELL","PHANTOM_CORSAIRS","COMMON",,,"","","Discover a copy of a card in your opponent's hand. It costs (0)"
"pc_spectral_ambush","Spectral Ambush",5,"SPELL","PHANTOM_CORSAIRS","COMMON",,,"","","Deal 3 damage to all enemy minions. Your and CLOAK minions are unaffected"
"pc_phantom_dreadnought","Phantom Dreadnought",6,"MINION","PHANTOM_CORSAIRS","COMMON",6,6,"PIRATE","DRAIN, SWIFT, DEPLOY","Deal 3 damage to a random enemy"
"pc_grand_heist","Grand Heist",6,"SPELL","PHANTOM_CORSAIRS","COMMON",,,"","","Draw a card"
"pc_ghost_galleon","Ghost Galleon",7,"MINION","PHANTOM_CORSAIRS","COMMON",7,7,"PIRATE","CLOAK, BLITZ, DEPLOY","Summon two 3/3 Phantom Pirates with CLOAK"
"pc_mutiny","Mutiny",7,"SPELL","PHANTOM_CORSAIRS","COMMON",,,"","","Take control of an enemy minion with the highest Attack. It gains"
"pc_stowaway","Stowaway",1,"MINION","PHANTOM_CORSAIRS","COMMON",1,2,"PIRATE","BLITZ, CLOAK, DEPLOY","Deal 1 damage to a random enemy"
"pc_smugglers_cache","Smuggler's Cache",2,"STRUCTURE","PHANTOM_CORSAIRS","COMMON",,,"","DEPLOY","Whenever you play a stolen card, draw a card"
"pc_first_mate_phantom","First Mate Phantom",3,"MINION","PHANTOM_CORSAIRS","RARE",3,5,"PIRATE","LETHAL, DEPLOY","Whenever you play a stolen card, gain +2/+1"
"pc_ghostly_sabotage","Ghostly Sabotage",3,"SPELL","PHANTOM_CORSAIRS","RARE",,,"","","Draw a card"
"pc_spectral_assassin","Spectral Assassin",4,"MINION","PHANTOM_CORSAIRS","RARE",5,3,"PIRATE","SWIFT, CLOAK, DEPLOY","Draw a card"
"pc_contraband_market","Contraband Market",4,"STRUCTURE","PHANTOM_CORSAIRS","RARE",,,"","DEPLOY","Deal 4 damage to a random enemy"
"pc_phantom_swap","Phantom Swap",3,"SPELL","PHANTOM_CORSAIRS","RARE",,,"","","Swap a friendly minion with a random enemy minion. Your minion gains"
"pc_corsair_ambush","Corsair Ambush",5,"SPELL","PHANTOM_CORSAIRS","RARE",,,"","","Summon three 3/2 Phantom Pirates with CLOAK and SWIFT"
"pc_ethereal_smuggler","Ethereal Smuggler",4,"MINION","PHANTOM_CORSAIRS","RARE",4,4,"PIRATE","DRAIN, LETHAL, DEPLOY","Draw a card"
"pc_haunt","Haunt",3,"SPELL","PHANTOM_CORSAIRS","RARE",,,"","","Give an enemy minion -3 Attack. Gain +3 Attack on a friendly minion"
"pc_wraithship_bombardment","Wraithship Bombardment",6,"SPELL","PHANTOM_CORSAIRS","RARE",,,"","","Deal 2 damage to all enemies for each minion you control"
"pc_fence","Fence",5,"MINION","PHANTOM_CORSAIRS","RARE",4,5,"PIRATE","DOUBLE_STRIKE, DEPLOY","Deal 2 damage to a random enemy"
"pc_void_anchor","Void Anchor",4,"STRUCTURE","PHANTOM_CORSAIRS","RARE",,,"","DEPLOY, CLOAK","Your minions have +2 Attack. Whenever a minion attacks, give it CLOAK"
"pc_ghostly_crew","Ghostly Crew",6,"MINION","PHANTOM_CORSAIRS","RARE",4,5,"PIRATE","BLITZ, DEPLOY","Draw a card"
"pc_plunderstorm","Plunderstorm",5,"SPELL","PHANTOM_CORSAIRS","RARE",,,"","","Draw a card"
"pc_phase_stalker","Phase Stalker",5,"MINION","PHANTOM_CORSAIRS","RARE",5,4,"PIRATE","SWIFT, DEPLOY","Draw a card"
"pc_netherstorm_portal","Netherstorm Portal",5,"STRUCTURE","PHANTOM_CORSAIRS","RARE",,,"","DEPLOY","Deal 2 damage to a random enemy"
"pc_phantom_admiral","PHANTOM ADMIRAL",7,"MINION","PHANTOM_CORSAIRS","EPIC",6,7,"PIRATE","SWIFT, CLOAK, DEPLOY","PHASE. ALL Pirates have PHASE. Whenever you play a card, steal a random card from your opponent's hand. Stolen cards cost (0)."
"pc_dimensional_heist","Dimensional Heist",8,"SPELL","PHANTOM_CORSAIRS","EPIC",,,"","","Draw a card"
"pc_spectral_flagship","Spectral Flagship",7,"MINION","PHANTOM_CORSAIRS","EPIC",5,8,"PIRATE","BARRIER, DEPLOY","Give a minion +2/+2"
"pc_captain_shadowvane","CAPTAIN SHADOWVANE",8,"MINION","PHANTOM_CORSAIRS","LEGENDARY",7,7,"PIRATE","SWIFT, BLITZ, DEPLOY","PHASE. DEPLOY: Steal your opponent's ENTIRE hand. For the rest of the game, all cards you play are treated as ""stolen."" Stolen cards cost (0) and deal 3 damage to the enemy Hero when played."
"pc_the_netherstorm","THE NETHERSTORM",9,"MINION","PHANTOM_CORSAIRS","LEGENDARY",0,13,"","DRAIN, DEPLOY","Draw a card"
"hive_worker_drone","Worker Drone",1,"MINION","HIVEMIND","COMMON",1,2,"INSECT","LETHAL, DEPLOY","(Gets +1/+1 for each other friendly minion.)"
"hive_spawning_pit","Spawning Pit",1,"SPELL","HIVEMIND","COMMON",,,"","","Summon two 1/1 Drones"
"hive_hatchling_swarm","Hatchling Swarm",1,"MINION","HIVEMIND","COMMON",1,2,"INSECT","LETHAL, DEPLOY","Summon two 1/1 Drones"
"hive_chitinous_shell","Chitinous Shell",1,"SPELL","HIVEMIND","COMMON",0,2,"","GUARDIAN","Give a minion +0/+2 and GUARDIAN"
"hive_skittering_scout","Skittering Scout",1,"MINION","HIVEMIND","COMMON",1,3,"INSECT","DEPLOY","If you control 2+ other minions, draw a card"
"hive_brood_tender","Brood Tender",2,"MINION","HIVEMIND","COMMON",2,3,"INSECT","SWIFT, DEPLOY","Summon a 1/1 Drone"
"hive_swarm_striker","Swarm Striker",2,"MINION","HIVEMIND","COMMON",2,2,"INSECT","DRAIN, SWIFT, LAST_WORDS","SWIFT. LAST WORDS: Deal 1 damage to a random enemy"
